Date,Time,CO2(mmHg),CRC,
2023-08-24,15:57:57.05,1,20633,
2023-08-24,15:57:57.29,1,23336,
2023-08-24,15:57:57.52,1,8931,
2023-08-24,15:57:57.76,1,44177,
2023-08-24,15:57:58.03,1,65001,
2023-08-24,15:57:58.37,1,55754,
2023-08-24,15:57:58.55,1,63783,
2023-08-24,15:57:58.80,1,25624,
2023-08-24,15:57:59.04,1,5285,
2023-08-24,15:57:59.29,1,27040,
2023-08-24,15:57:59.55,1,16710,
2023-08-24,15:57:59.77,1,59565,
2023-08-24,15:58:00.02,1,1791,
2023-08-24,15:58:00.36,1,8924,
2023-08-24,15:58:00.55,1,29829,
2023-08-24,15:58:00.80,1,59834,
2023-08-24,15:58:01.05,1,61363,
2023-08-24,15:58:01.29,1,58370,
2023-08-24,15:58:01.55,1,52452,
2023-08-24,15:58:01.79,1,51029,
2023-08-24,15:58:02.02,1,26140,
2023-08-24,15:58:02.29,1,15488,
2023-08-24,15:58:02.50,1,43043,
2023-08-24,15:58:02.80,1,35161,
2023-08-24,15:58:03.04,1,63972,
2023-08-24,15:58:03.29,1,34017,
2023-08-24,15:58:03.54,1,55987,
2023-08-24,15:58:03.80,1,12600,
2023-08-24,15:58:04.13,1,7132,
2023-08-24,15:58:04.27,1,16383,
2023-08-24,15:58:04.51,1,32690,
2023-08-24,15:58:04.77,1,7336,
2023-08-24,15:58:05.03,1,2540,
2023-08-24,15:58:05.30,1,31970,
2023-08-24,15:58:05.55,1,3362,
2023-08-24,15:58:05.79,1,1683,
2023-08-24,15:58:06.04,1,32835,
2023-08-24,15:58:06.30,1,42080,
2023-08-24,15:58:06.52,1,33933,
2023-08-24,15:58:06.76,1,2815,
2023-08-24,15:58:07.01,1,33895,
2023-08-24,15:58:07.29,1,17703,
2023-08-24,15:58:07.54,1,7029,
2023-08-24,15:58:07.79,1,26224,
2023-08-24,15:58:08.03,1,58342,
2023-08-24,15:58:08.39,1,26015,
2023-08-24,15:58:08.55,1,59176,
2023-08-24,15:58:08.77,1,20163,
2023-08-24,15:58:09.01,1,46831,
2023-08-24,15:58:09.26,1,41793,
2023-08-24,15:58:09.55,1,24393,
2023-08-24,15:58:09.80,1,49782,
2023-08-24,15:58:10.04,1,26293,
2023-08-24,15:58:10.37,1,5051,
2023-08-24,15:58:10.54,1,17890,
2023-08-24,15:58:10.81,1,55517,
2023-08-24,15:58:11.01,1,25233,
2023-08-24,15:58:11.25,1,60643,
2023-08-24,15:58:11.51,1,16838,
2023-08-24,15:58:11.79,1,32902,
2023-08-24,15:58:12.14,1,44039,
2023-08-24,15:58:12.30,1,8821,
2023-08-24,15:58:12.54,1,9473,
2023-08-24,15:58:12.80,1,52874,
2023-08-24,15:58:13.05,1,51331,
2023-08-24,15:58:13.27,1,24936,
2023-08-24,15:58:13.50,1,22417,
2023-08-24,15:58:13.76,1,13451,
2023-08-24,15:58:14.13,1,23567,
2023-08-24,15:58:14.29,1,55926,
2023-08-24,15:58:14.56,1,26956,
2023-08-24,15:58:14.79,1,63777,
2023-08-24,15:58:15.04,1,7954,
2023-08-24,15:58:15.28,1,5283,
2023-08-24,15:58:15.52,1,7132,
2023-08-24,15:58:15.76,1,38318,
2023-08-24,15:58:16.00,1,3425,
2023-08-24,15:58:16.39,1,4292,
2023-08-24,15:58:16.55,1,37491,
2023-08-24,15:58:16.80,1,3916,
2023-08-24,15:58:17.04,1,32753,
2023-08-24,15:58:17.30,1,23506,
2023-08-24,15:58:17.54,1,23718,
2023-08-24,15:58:17.76,1,62797,
2023-08-24,15:58:18.01,1,18781,
2023-08-24,15:58:18.34,1,7114,
2023-08-24,15:58:18.54,1,54863,
2023-08-24,15:58:18.80,1,15812,
2023-08-24,15:58:19.06,1,40977,
2023-08-24,15:58:19.28,1,18120,
2023-08-24,15:58:19.55,1,6298,
2023-08-24,15:58:19.78,1,26015,
2023-08-24,15:58:20.00,1,25649,
2023-08-24,15:58:20.33,1,4415,
2023-08-24,15:58:20.51,1,12754,
2023-08-24,15:58:20.80,1,26140,
2023-08-24,15:58:21.03,1,18316,
2023-08-24,15:58:21.29,1,27556,
2023-08-24,15:58:21.55,1,17218,
2023-08-24,15:58:21.79,1,18675,
2023-08-24,15:58:22.14,1,25714,
2023-08-24,15:58:22.26,1,26568,
2023-08-24,15:58:22.50,1,10117,
2023-08-24,15:58:22.75,1,57155,
2023-08-24,15:58:23.05,1,246,
2023-08-24,15:58:23.30,1,21089,
2023-08-24,15:58:23.54,1,21781,
2023-08-24,15:58:23.78,1,24228,
2023-08-24,15:58:24.04,1,28422,
2023-08-24,15:58:24.39,1,47186,
2023-08-24,15:58:24.50,1,34464,
2023-08-24,15:58:24.76,1,58810,
2023-08-24,15:58:25.00,1,7574,
2023-08-24,15:58:25.29,1,43618,
2023-08-24,15:58:25.56,1,6488,
2023-08-24,15:58:25.78,1,65409,
2023-08-24,15:58:26.13,1,62617,
2023-08-24,15:58:26.27,1,53434,
2023-08-24,15:58:26.54,1,11442,
2023-08-24,15:58:26.76,1,34137,
2023-08-24,15:58:27.01,1,3009,
2023-08-24,15:58:27.25,1,34227,
2023-08-24,15:58:27.53,1,50686,
2023-08-24,15:58:27.78,1,40802,
2023-08-24,15:58:28.03,1,27712,
2023-08-24,15:58:28.35,1,42251,
2023-08-24,15:58:28.54,1,7738,
2023-08-24,15:58:28.79,1,25407,
2023-08-24,15:58:29.03,1,54305,
2023-08-24,15:58:29.26,1,11495,
2023-08-24,15:58:29.50,1,27818,
2023-08-24,15:58:29.78,1,44522,
2023-08-24,15:58:30.13,1,4719,
2023-08-24,15:58:30.30,1,52528,
2023-08-24,15:58:30.54,1,51780,
2023-08-24,15:58:30.79,1,46913,
2023-08-24,15:58:31.05,1,10182,
2023-08-24,15:58:31.25,1,25413,
2023-08-24,15:58:31.50,1,47316,
2023-08-24,15:58:31.74,1,13990,
2023-08-24,15:58:32.13,1,29324,
2023-08-24,15:58:32.29,1,62709,
2023-08-24,15:58:32.53,1,64394,
2023-08-24,15:58:32.78,1,41238,
2023-08-24,15:58:33.04,1,12689,
2023-08-24,15:58:33.28,1,14880,
2023-08-24,15:58:33.50,1,55351,
2023-08-24,15:58:33.74,1,22085,
2023-08-24,15:58:34.00,1,57892,
2023-08-24,15:58:34.37,1,24027,
2023-08-24,15:58:34.53,1,23215,
2023-08-24,15:58:34.78,1,51,
2023-08-24,15:58:35.03,1,49561,
2023-08-24,15:58:35.27,1,20459,
2023-08-24,15:58:35.53,1,58062,
2023-08-24,15:58:35.75,1,33236,
2023-08-24,15:58:35.99,1,334,
2023-08-24,15:58:36.33,1,63433,
2023-08-24,15:58:36.54,1,27489,
2023-08-24,15:58:36.79,1,5732,
2023-08-24,15:58:37.03,1,41338,
2023-08-24,15:58:37.30,1,54388,
2023-08-24,15:58:37.54,1,54016,
2023-08-24,15:58:37.79,1,44549,
2023-08-24,15:58:38.01,1,50939,
2023-08-24,15:58:38.34,1,37996,
2023-08-24,15:58:38.49,1,51774,
2023-08-24,15:58:38.79,1,9452,
2023-08-24,15:58:39.03,1,37874,
2023-08-24,15:58:39.28,1,51566,
2023-08-24,15:58:39.52,1,50705,
2023-08-24,15:58:39.78,1,59961,
2023-08-24,15:58:40.02,1,2450,
2023-08-24,15:58:40.32,1,59200,
2023-08-24,15:58:40.48,1,59455,
2023-08-24,15:58:40.74,1,18911,
2023-08-24,15:58:41.02,1,45555,
2023-08-24,15:58:41.27,1,18741,
2023-08-24,15:58:41.52,1,37540,
2023-08-24,15:58:41.78,1,48780,
2023-08-24,15:58:42.02,1,26993,
2023-08-24,15:58:42.32,1,34723,
2023-08-24,15:58:42.50,1,42830,
2023-08-24,15:58:42.74,1,10556,
2023-08-24,15:58:42.99,1,57106,
2023-08-24,15:58:43.30,1,53930,
2023-08-24,15:58:43.54,1,54750,
2023-08-24,15:58:43.79,1,43227,
2023-08-24,15:58:44.03,1,48864,
2023-08-24,15:58:44.37,1,39619,
2023-08-24,15:58:44.53,1,40375,
2023-08-24,15:58:44.73,1,55604,
